NaN  +  j * -inf 
3.1436600816875896e+10  +  j * inf 
inf  +  j * NaN 
6.4834212767314251e-61  +  j * 0.0000000000000000e+00 
-6.9000764466136813e+30  +  j * 0.0000000000000000e+00 
-3.5490331854512077e-277  +  j * 0.0000000000000000e+00 
0.0000000000000000e+00  +  j * -2.5702798600127246e+279 
7.1581454647587589e-42  +  j * -3.5518757903255098e-80 
inf  +  j * NaN 
0.0000000000000000e+00  +  j * 7.8227188636153755e+32 
1.7804634057987401e+261  +  j * 4.8983209280334714e+184 
6.8369745924076854e+280  +  j * -2.2817216568738744e+100 
4.1143588836139585e+112  +  j * 0.0000000000000000e+00 
1.5738391900444734e-284  +  j * -8.1043484926465110e-269 
-1.2905664212675296e-301  +  j * 0.0000000000000000e+00 
inf  +  j * NaN 
-1.8780331625564406e-113  +  j * 1.8085081181625679e-113 
-1.7956621190410678e+38  +  j * 0.0000000000000000e+00 
NaN  +  j * -inf 
inf  +  j * -1.0198946082788632e+20 
1.6047399471962004e+245  +  j * -3.3082290942776054e+175 
NaN  +  j * -inf 
2.1826743341732115e-15  +  j * 0.0000000000000000e+00 
-1.3938107253965008e+246  +  j * 0.0000000000000000e+00 
-inf  +  j * NaN 
-2.2065128473491839e-306  +  j * 0.0000000000000000e+00 
1.4039168203601094e-24  +  j * -5.2066891649052140e-15 
inf  +  j * 3.3886111285134761e+304 
inf  +  j * NaN 
-3.0909231147399226e+115  +  j * -2.9858143589582994e+73 
NaN  +  j * inf 
-4.5573470080296793e+03  +  j * 6.6482268457531020e-22 
NaN  +  j * inf 
9.9012341910781276e-123  +  j * -1.6147414928122093e-108 
-inf  +  j * -3.8163877057597315e+208 
inf  +  j * NaN 
6.6841222142822069e+137  +  j * -3.2855713591362432e+90 
-inf  +  j * NaN 
NaN  +  j *  NaN 
1.1553222789605688e+224  +  j * 0.0000000000000000e+00 
-5.6946156046890982e-272  +  j * -1.1370666282211581e-70 
1.1307100531974440e-170  +  j * 8.0888275613606391e-193 
-6.1358112551698546e+284  +  j * 0.0000000000000000e+00 
-1.9045389835406501e+07  +  j * 4.2739988686446112e+236 
-1.4364719547228998e+128  +  j * -2.5594121868681162e+122 
NaN  +  j * -inf 
-3.2403665855213779e+05  +  j * -5.6547695656724742e+17 
inf  +  j * NaN 
6.5802646690923424e+58  +  j * 0.0000000000000000e+00 
inf  +  j * inf 
1.5407537490808572e+71  +  j * inf 
inf  +  j * NaN 
-7.4399276309198190e+32  +  j * -1.1581241913378351e-98 
inf  +  j * -6.4602157761354254e+129 
5.0831616663262476e-194  +  j * 1.8766267069240845e-145 
inf  +  j * -3.2234810372737958e+239 
8.4390097261010122e-79  +  j * 1.5582291333500659e+236 
0.0000000000000000e+00  +  j * 2.9982013814814940e+201 
inf  +  j * 7.3337355390978450e+240 
-1.7440935564273889e-121  +  j * -4.1134898981854798e-131 
8.3120586787997954e+122  +  j * -inf 
inf  +  j * 2.9012129281724754e+72 
-1.0928476940180047e-74  +  j * 6.4216198982971469e+17 
2.0139647327150216e+21  +  j * 1.7727579051895019e+72 
-inf  +  j * -1.4844215071375368e+208 
-3.2564835610959679e+283  +  j * 1.9968427264954961e+289 
7.0225493885391437e-112  +  j * 1.1184028224458816e-55 
0.0000000000000000e+00  +  j * -8.3293991662258136e+245 
3.0782207839910324e+268  +  j * -inf 
1.8542658688633037e+247  +  j * -5.4864815476468525e-16 
2.4652107324111781e-25  +  j * 0.0000000000000000e+00 
-7.7670608471674923e-168  +  j * 0.0000000000000000e+00 
NaN  +  j * inf 
-inf  +  j * NaN 
-2.1741058077326863e+283  +  j * 1.1320172085995500e+188 
-1.0404065349861676e+145  +  j * 0.0000000000000000e+00 
1.6458872548983237e-82  +  j * -2.6865801457817376e-57 
2.1581770992888807e+302  +  j * 0.0000000000000000e+00 
1.9274114106731257e+88  +  j * 1.1758378496847555e+54 
1.3822359618664116e+214  +  j * -1.0273172288763342e+237 
NaN  +  j * -inf 
NaN  +  j * inf 
0.0000000000000000e+00  +  j * -1.0400820294298443e-250 
-3.0818040892444400e+37  +  j * 5.0522859334384076e+40 
-2.8475594509758703e+179  +  j * 0.0000000000000000e+00 
-3.1642551050747981e+271  +  j * 0.0000000000000000e+00 
9.8874891987300848e+262  +  j * 0.0000000000000000e+00 
1.0810937185329071e+293  +  j * 0.0000000000000000e+00 
0.0000000000000000e+00  +  j * 9.3971166898819530e+285 
1.6629255151874413e+201  +  j * 0.0000000000000000e+00 
4.7865857152124174e+199  +  j * -7.4838224798620362e+14 
-3.8422330624172791e-112  +  j * -9.7612885157114174e-136 
0.0000000000000000e+00  +  j * -2.8808222151152209e+72 
-inf  +  j * NaN 
0.0000000000000000e+00  +  j * -4.1548087846151435e+202 
0.0000000000000000e+00  +  j * 9.7732720815093603e+282 
-5.7747196970540571e-212  +  j * 1.1804312848157007e-198 
-3.6666628251717600e-167  +  j * -2.4401099961391810e-233 
2.2533886462527466e+68  +  j * -5.5994597592930598e+86 
NaN  +  j * inf 
